date,wl_anomaly,lake
2020-03-01,1.6778494623655433,Tanganyika
2020-04-01,1.8770752688171797,Tanganyika
2020-05-01,2.157741935483841,Tanganyika
2020-06-01,2.1101863799283365,Tanganyika
2020-07-01,1.9732258064516373,Tanganyika
2020-08-01,1.8168817204300467,Tanganyika
2020-09-01,1.6857419354838612,Tanganyika
2020-10-01,1.6016129032258277,Tanganyika
2020-11-01,1.6450752688172088,Tanganyika
2020-12-01,1.7674193548386938,Tanganyika
2021-01-01,1.997741935483873,Tanganyika
2021-02-01,2.1813133640553133,Tanganyika
2021-03-01,2.3048387096773695,Tanganyika
2021-04-01,2.474408602150561,Tanganyika
2021-05-01,2.6264516129032245,Tanganyika
2021-06-01,2.51940860215052,Tanganyika
2021-07-01,2.345483870967769,Tanganyika
2021-08-01,2.1185161290322867,Tanganyika
2021-09-01,1.9897419354838348,Tanganyika
2021-10-01,1.8970967741935283,Tanganyika
2021-11-01,1.8777419354838685,Tanganyika
2021-12-01,1.9612903225805667,Tanganyika
2022-01-01,2.0709677419354193,Tanganyika
2022-02-01,2.1684562211980847,Tanganyika
2022-03-01,2.1959772296014535,Tanganyika
2022-04-01,NA,Tanganyika
2010-01-01,0.0554086021504645,Victoria
2010-02-01,0.04909523809510574,Victoria
2010-03-01,0.15605376344092292,Victoria
2010-04-01,0.2919999999999163,Victoria
2010-05-01,0.42315053763445576,Victoria
2010-06-01,0.4223333333334267,Victoria
2010-07-01,0.27927956989242375,Victoria
2010-08-01,0.1576666666667279,Victoria
2010-09-01,0.0843333333332339,Victoria
2010-10-01,0.13186021505384815,Victoria
2010-11-01,0.0876666666665642,Victoria
2010-12-01,0.07508602150528532,Victoria
2011-01-01,0.06411827956981142,Victoria
2011-02-01,0.04123809523798627,Victoria
2011-03-01,0.006053763440831972,Victoria
2011-04-01,0,Victoria
2011-05-01,0.03347311827951671,Victoria
2011-06-01,0.038000000000010914,Victoria
2011-07-01,0.01573118279566188,Victoria
2011-08-01,0.04186021505370263,Victoria
2011-09-01,0.06733333333318114,Victoria
2011-10-01,0.048956989247244564,Victoria
2011-11-01,0.10766666666654601,Victoria
2011-12-01,0.2966989247311176,Victoria
2012-01-01,0.31153763440852345,Victoria
2012-02-01,0.17077011494257022,Victoria
2012-03-01,0.15411827956995694,Victoria
2012-04-01,0.18399999999996908,Victoria
2012-05-01,0.29992473118272756,Victoria
2012-06-01,0.4276666666667097,Victoria
2012-07-01,0.359602150537512,Victoria
2012-08-01,0.3276666666665733,Victoria
2012-09-01,0.329666666666526,Victoria
2012-10-01,0.33250537634398825,Victoria
2012-11-01,0.4230000000000018,Victoria
2012-12-01,0.507989247311798,Victoria
2013-01-01,0.603150537634292,Victoria
2013-02-01,0.5833809523808213,Victoria
2013-03-01,0.5541182795698205,Victoria
2013-04-01,0.7416666666665606,Victoria
2013-05-01,0.9773440860215032,Victoria
2013-06-01,0.9559999999999036,Victoria
2013-07-01,0.7044408602150725,Victoria
2013-08-01,0.6383118279570681,Victoria
2013-09-01,0.5253333333332648,Victoria
2013-10-01,0.643795698924805,Victoria
2013-11-01,0.6259999999999764,Victoria
2013-12-01,0.7279892473118252,Victoria
2014-01-01,0.7160537634408684,Victoria
2014-02-01,0.6855238095238292,Victoria
2014-03-01,0.6750860215054217,Victoria
2014-04-01,0.7123333333333903,Victoria
2014-05-01,0.7799247311827457,Victoria
2014-06-01,0.8116666666664969,Victoria
2014-07-01,0.7096021505376484,Victoria
2014-08-01,0.6628279569893039,Victoria
2014-09-01,0.6956666666667388,Victoria
2014-10-01,0.7260537634408593,Victoria
2014-11-01,0.7866666666666333,Victoria
2014-12-01,0.85573118279558,Victoria
2015-01-01,0.9121827956989819,Victoria
2015-02-01,0.7040952380953058,Victoria
2015-03-01,0.6186344086022473,Victoria
2015-04-01,0.8040000000000873,Victoria
2015-05-01,1.011537634408569,Victoria
2015-06-01,1.0526666666667097,Victoria
2015-07-01,0.9763763440860203,Victoria
